tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_skpu
2018-08-01,86,31,21,129,24,129,O3,TIDAK SEHAT,DKI5
2018-08-02,68,31,18,207,20,207,O3,SANGAT TIDAK SEHAT,DKI5
2018-08-03,68,32,16,211,17,211,O3,SANGAT TIDAK SEHAT,DKI2
2018-08-04,59,31,16,194,16,194,O3,TIDAK SEHAT,DKI5
2018-08-05,65,35,14,203,16,203,O3,SANGAT TIDAK SEHAT,DKI2
2018-08-06,71,34,13,202,23,202,O3,SANGAT TIDAK SEHAT,DKI2
2018-08-07,79,35,21,162,25,162,O3,TIDAK SEHAT,DKI5
2018-08-08,92,33,28,144,29,144,O3,TIDAK SEHAT,DKI5
2018-08-09,75,37,22,186,18,186,O3,TIDAK SEHAT,DKI5
2018-08-10,65,33,18,165,17,165,O3,TIDAK SEHAT,DKI2
2018-08-11,69,31,17,126,19,126,O3,TIDAK SEHAT,DKI3
2018-08-12,77,31,20,127,15,127,O3,TIDAK SEHAT,DKI5
2018-08-13,66,30,14,134,14,134,O3,TIDAK SEHAT,DKI5
2018-08-14,74,31,19,151,13,151,O3,TIDAK SEHAT,DKI5
2018-08-15,62,30,15,185,16,185,O3,TIDAK SEHAT,DKI5
2018-08-16,72,31,17,140,15,140,O3,TIDAK SEHAT,DKI5
2018-08-17,62,31,15,154,13,154,O3,TIDAK SEHAT,DKI5
2018-08-18,62,30,14,143,14,143,O3,TIDAK SEHAT,DKI5
2018-08-19,79,32,20,149,13,149,O3,TIDAK SEHAT,DKI5
2018-08-20,80,30,19,101,11,101,O3,TIDAK SEHAT,DKI5
2018-08-21,73,32,16,122,11,122,O3,TIDAK SEHAT,DKI3
2018-08-22,62,31,16,164,9,164,O3,TIDAK SEHAT,DKI5
2018-08-23,62,30,17,161,16,161,O3,TIDAK SEHAT,DKI5
2018-08-24,81,32,22,110,18,110,O3,TIDAK SEHAT,DKI5
2018-08-25,76,31,19,202,13,202,O3,SANGAT TIDAK SEHAT,DKI5
2018-08-26,75,30,16,131,12,131,O3,TIDAK SEHAT,DKI5
2018-08-27,79,31,20,166,13,166,O3,TIDAK SEHAT,DKI5
2018-08-28,83,31,17,182,13,182,O3,TIDAK SEHAT,DKI5
2018-08-29,67,30,16,161,13,161,O3,TIDAK SEHAT,DKI5
2018-08-30,85,31,17,153,16,153,O3,TIDAK SEHAT,DKI2
2018-08-31,65,30,18,130,11,130,O3,TIDAK SEHAT,DKI5
