tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-04-01,45,25,17,57,13,57,O3,SEDANG,DKI5
2018-04-02,46,27,18,57,19,57,O3,SEDANG,DKI5
2018-04-03,50,26,27,80,26,80,O3,SEDANG,DKI5
2018-04-04,45,28,20,96,28,96,O3,SEDANG,DKI5
2018-04-05,81,37,29,202,18,202,O3,SANGAT TIDAK SEHAT,DKI5
2018-04-06,56,29,21,144,12,144,O3,TIDAK SEHAT,DKI5
2018-04-07,68,31,29,74,12,74,O3,SEDANG,DKI3
2018-04-08,45,28,16,51,12,51,O3,SEDANG,DKI3
2018-04-09,53,33,20,85,11,85,O3,SEDANG,DKI3
2018-04-10,52,36,19,66,15,66,O3,SEDANG,DKI3
2018-04-11,71,33,23,92,13,92,O3,SEDANG,DKI3
2018-04-12,69,58,16,57,14,69,PM10,SEDANG,DKI2
2018-04-13,54,56,16,121,11,121,O3,TIDAK SEHAT,DKI5
2018-04-14,51,22,21,141,12,141,O3,TIDAK SEHAT,DKI5
2018-04-15,59,27,23,168,13,168,O3,TIDAK SEHAT,DKI5
2018-04-16,65,33,27,185,18,185,O3,TIDAK SEHAT,DKI5
2018-04-17,63,26,24,142,16,142,O3,TIDAK SEHAT,DKI5
2018-04-18,81,29,26,80,23,81,PM10,SEDANG,DKI4
2018-04-19,86,27,33,133,22,133,O3,TIDAK SEHAT,DKI5
2018-04-20,76,24,30,92,18,92,O3,SEDANG,DKI5
2018-04-21,73,26,43,162,25,162,O3,TIDAK SEHAT,DKI5
2018-04-22,70,26,29,117,18,117,O3,TIDAK SEHAT,DKI5
2018-04-23,51,22,30,84,16,84,O3,SEDANG,DKI5
2018-04-24,61,23,33,90,34,90,O3,SEDANG,DKI5
2018-04-25,69,23,37,48,18,69,PM10,SEDANG,DKI1
2018-04-26,71,30,34,56,25,71,PM10,SEDANG,DKI1
2018-04-27,62,23,22,48,16,62,PM10,SEDANG,DKI2
2018-04-28,57,25,23,96,16,96,O3,SEDANG,DKI5
2018-04-29,67,23,26,120,18,120,O3,TIDAK SEHAT,DKI5
2018-04-30,78,24,29,89,22,89,O3,SEDANG,DKI4
