tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-12-01,60,26,27,112,17,112,O3,TIDAK SEHAT,DKI3
2018-12-02,73,36,22,132,21,132,O3,TIDAK SEHAT,DKI2
2018-12-03,65,31,21,97,20,97,O3,SEDANG,DKI2
2018-12-04,64,24,31,71,21,71,O3,SEDANG,DKI1
2018-12-05,62,25,33,81,22,81,O3,SEDANG,DKI5
2018-12-06,61,27,33,94,17,94,O3,SEDANG,DKI3
2018-12-07,59,40,29,134,15,134,O3,TIDAK SEHAT,DKI3
2018-12-08,68,25,30,134,27,134,O3,TIDAK SEHAT,DKI2
2018-12-09,60,25,25,104,19,104,O3,TIDAK SEHAT,DKI2
2018-12-10,68,24,32,137,19,137,O3,TIDAK SEHAT,DKI2
2018-12-11,82,26,50,123,34,123,O3,TIDAK SEHAT,DKI2
2018-12-12,58,26,31,214,22,214,O3,SANGAT TIDAK SEHAT,DKI2
2018-12-13,52,26,24,117,26,117,O3,TIDAK SEHAT,DKI2
2018-12-14,50,24,21,92,18,92,O3,SEDANG,DKI3
2018-12-15,37,24,16,47,6,47,O3,BAIK,DKI2
2018-12-16,46,25,11,63,9,63,O3,SEDANG,DKI2
2018-12-17,41,30,12,128,12,128,O3,TIDAK SEHAT,DKI2
2018-12-18,51,27,16,160,14,160,O3,TIDAK SEHAT,DKI2
2018-12-19,62,27,24,195,19,195,O3,TIDAK SEHAT,DKI2
2018-12-20,55,27,24,97,18,97,O3,SEDANG,DKI3
2018-12-21,41,25,19,64,17,64,O3,SEDANG,DKI3
2018-12-22,58,32,21,66,18,66,O3,SEDANG,DKI3
2018-12-23,48,26,19,44,21,48,PM10,BAIK,DKI1
2018-12-24,34,24,9,45,5,45,O3,BAIK,DKI3
2018-12-25,29,24,7,70,4,70,O3,SEDANG,DKI3
2018-12-26,31,25,7,69,5,69,O3,SEDANG,DKI3
2018-12-27,29,25,15,55,6,55,O3,SEDANG,DKI1
2018-12-28,33,24,7,63,3,63,O3,SEDANG,DKI1
2018-12-29,30,24,6,50,8,50,O3,BAIK,DKI3
2018-12-30,48,12,6,53,4,53,O3,SEDANG,DKI3
2018-12-31,44,18,6,43,4,44,PM10,BAIK,DKI3
