tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-02-01,44,43,37,73,13,73,O3,SEDANG,DKI5
2018-02-02,47,45,56,68,12,68,O3,SEDANG,DKI3
2018-02-03,42,44,35,59,12,59,O3,SEDANG,DKI5
2018-02-04,35,47,35,57,12,57,O3,SEDANG,DKI5
2018-02-05,31,46,32,66,9,66,O3,SEDANG,DKI5
2018-02-06,45,48,71,75,16,75,O3,SEDANG,DKI5
2018-02-07,42,50,60,89,14,89,O3,SEDANG,DKI5
2018-02-08,55,49,62,89,22,89,O3,SEDANG,DKI5
2018-02-09,53,24,88,65,14,88,CO,SEDANG,DKI5
2018-02-10,43,24,52,58,16,58,O3,SEDANG,DKI5
2018-02-11,48,25,39,56,12,56,O3,SEDANG,DKI5
2018-02-12,50,21,56,70,12,70,O3,SEDANG,DKI5
2018-02-13,57,21,32,75,13,75,O3,SEDANG,DKI5
2018-02-14,60,22,27,80,17,80,O3,SEDANG,DKI5
2018-02-15,55,22,63,58,15,63,CO,SEDANG,DKI5
2018-02-16,22,22,23,68,14,68,O3,SEDANG,DKI5
2018-02-17,53,24,23,48,14,53,PM10,SEDANG,DKI4
2018-02-18,40,23,23,80,9,80,O3,SEDANG,DKI5
2018-02-19,45,24,20,65,14,65,O3,SEDANG,DKI5
2018-02-20,52,32,35,62,14,62,O3,SEDANG,DKI5
2018-02-21,57,26,22,66,26,66,O3,SEDANG,DKI2
2018-02-22,53,26,66,47,19,66,CO,SEDANG,DKI5
2018-02-23,64,26,88,61,14,88,CO,SEDANG,DKI5
2018-02-24,47,23,22,76,11,76,O3,SEDANG,DKI3
2018-02-25,48,26,20,91,11,91,O3,SEDANG,DKI5
2018-02-26,46,25,33,80,15,80,O3,SEDANG,DKI5
2018-02-27,47,25,42,64,17,64,O3,SEDANG,DKI3
2018-02-28,56,28,56,80,16,80,O3,SEDANG,DKI3
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,TIDAK ADA DATA,,,0,,TIDAK ADA DATA,,0,
,BAIK,,,5,,PM10,,2,
,SEDANG,,,25,,SO2,,11,
,TIDAK SEHAT,,,1,,CO,,0,
,SANGAT TIDAK SEHAT,,,0,,O3,,18,
,BERBAHAYA,,,0,,NO2,,0,
,JUMLAH,,,31,,JUMLAH,,31,
