tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-01-01,76,31,38,35,9,76,PM10,SEDANG,DKI4
2018-01-02,23,31,24,39,14,39,O3,BAIK,DKI3
2018-01-03,53,35,35,101,23,101,O3,TIDAK SEHAT,DKI3
2018-01-04,53,49,34,57,15,57,O3,SEDANG,DKI3
2018-01-05,44,32,26,28,10,44,PM10,BAIK,DKI4
2018-01-06,20,30,22,31,5,31,O3,BAIK,DKI5
2018-01-07,26,30,14,46,5,46,O3,BAIK,DKI5
2018-01-08,62,33,19,73,17,73,O3,SEDANG,DKI5
2018-01-09,45,32,16,63,14,63,O3,SEDANG,DKI3
2018-01-10,42,34,16,95,17,95,O3,SEDANG,DKI5
2018-01-11,40,38,18,81,19,81,O3,SEDANG,DKI5
2018-01-12,37,33,18,83,17,83,O3,SEDANG,DKI5
2018-01-13,51,30,17,93,21,93,O3,SEDANG,DKI5
2018-01-14,33,72,17,73,14,73,O3,SEDANG,DKI5
2018-01-15,30,72,19,70,12,72,SO2,SEDANG,DKI4
2018-01-16,25,70,19,61,10,70,SO2,SEDANG,DKI4
2018-01-17,35,52,19,60,13,60,O3,SEDANG,DKI5
2018-01-18,41,52,22,56,15,56,O3,SEDANG,DKI5
2018-01-19,46,51,29,48,19,51,SO2,SEDANG,DKI4
2018-01-20,27,51,18,38,7,51,SO2,SEDANG,DKI4
2018-01-21,25,51,18,40,8,51,SO2,SEDANG,DKI4
2018-01-22,26,52,17,32,6,52,SO2,SEDANG,DKI4
2018-01-23,28,52,17,57,9,57,O3,SEDANG,DKI5
2018-01-24,33,53,20,86,19,86,O3,SEDANG,DKI5
2018-01-25,26,53,22,51,15,53,SO2,SEDANG,DKI4
2018-01-26,21,53,19,41,7,53,SO2,SEDANG,DKI4
2018-01-27,27,54,19,63,6,63,O3,SEDANG,DKI5
2018-01-28,34,55,20,52,6,55,SO2,SEDANG,DKI4
2018-01-29,22,54,18,39,7,54,SO2,SEDANG,DKI4
2018-01-30,27,41,22,41,7,41,SO2,BAIK,DKI5
2018-01-31,28,54,21,58,12,58,O3,SEDANG,DKI5
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,TIDAK ADA DATA,,,0,,TIDAK ADA DATA,,0,
,BAIK,,,5,,PM10,,2,
,SEDANG,,,25,,SO2,,11,
,TIDAK SEHAT,,,1,,CO,,0,
,SANGAT TIDAK SEHAT,,,0,,O3,,18,
,BERBAHAYA,,,0,,NO2,,0,
,JUMLAH,,,31,,JUMLAH,,31,
