tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-07-01,96,28,27,205,20,205,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-02,79,29,28,142,20,142,O3,TIDAK SEHAT,DKI5
2018-07-03,79,29,23,166,16,166,O3,TIDAK SEHAT,DKI2
2018-07-04,104,31,24,209,19,209,O3,SANGAT TIDAK SEHAT,DKI2
2018-07-05,63,29,16,123,13,123,O3,TIDAK SEHAT,DKI5
2018-07-06,74,31,16,113,19,113,O3,TIDAK SEHAT,DKI5
2018-07-07,95,32,32,104,24,104,O3,TIDAK SEHAT,DKI5
2018-07-08,95,29,32,111,22,111,O3,TIDAK SEHAT,DKI2
2018-07-09,69,29,17,116,17,116,O3,TIDAK SEHAT,DKI5
2018-07-10,87,29,19,124,16,124,O3,TIDAK SEHAT,DKI2
2018-07-11,73,32,17,129,20,129,O3,TIDAK SEHAT,DKI2
2018-07-12,74,32,16,117,18,117,O3,TIDAK SEHAT,DKI5
2018-07-13,80,30,17,107,18,107,O3,TIDAK SEHAT,DKI2
2018-07-14,84,33,19,117,19,117,O3,TIDAK SEHAT,DKI2
2018-07-15,63,29,14,129,11,129,O3,TIDAK SEHAT,DKI2
2018-07-16,61,33,14,222,18,222,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-17,81,30,20,205,19,205,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-18,88,29,25,208,20,208,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-19,82,30,19,188,19,188,O3,TIDAK SEHAT,DKI5
2018-07-20,79,30,16,113,18,113,O3,TIDAK SEHAT,DKI5
2018-07-21,74,32,14,151,16,151,O3,TIDAK SEHAT,DKI5
2018-07-22,77,29,22,166,15,166,O3,TIDAK SEHAT,DKI5
2018-07-23,63,25,23,191,22,191,O3,TIDAK SEHAT,DKI5
2018-07-24,92,32,23,184,22,184,O3,TIDAK SEHAT,DKI5
2018-07-25,75,29,23,153,17,153,O3,TIDAK SEHAT,DKI5
2018-07-26,78,33,22,168,20,168,O3,TIDAK SEHAT,DKI5
2018-07-27,86,31,19,197,18,197,O3,TIDAK SEHAT,DKI5
2018-07-28,92,32,31,234,20,234,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-29,77,30,23,202,20,202,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-30,92,31,23,174,27,174,O3,TIDAK SEHAT,DKI5
2018-07-31,79,29,22,156,21,156,O3,TIDAK SEHAT,DKI5
