tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-06-01,75,27,30,115,15,115,O3,TIDAK SEHAT,DKI5
2018-06-02,78,26,14,86,18,86,O3,SEDANG,DKI5
2018-06-03,82,26,16,145,17,145,O3,TIDAK SEHAT,DKI5
2018-06-04,73,27,11,125,19,125,O3,TIDAK SEHAT,DKI5
2018-06-05,69,26,13,146,14,146,O3,TIDAK SEHAT,DKI5
2018-06-06,78,26,16,133,13,133,O3,TIDAK SEHAT,DKI5
2018-06-07,79,25,21,179,18,179,O3,TIDAK SEHAT,DKI5
2018-06-08,68,27,16,162,17,162,O3,TIDAK SEHAT,DKI5
2018-06-09,100,27,39,167,22,167,O3,TIDAK SEHAT,DKI5
2018-06-10,75,27,28,203,17,203,O3,SANGAT TIDAK SEHAT,DKI2
2018-06-11,74,27,14,169,14,169,O3,TIDAK SEHAT,DKI2
2018-06-12,67,26,18,161,13,161,O3,TIDAK SEHAT,DKI2
2018-06-13,64,25,30,163,16,163,O3,TIDAK SEHAT,DKI5
2018-06-14,56,25,18,144,7,144,O3,TIDAK SEHAT,DKI5
2018-06-15,60,26,21,161,8,161,O3,TIDAK SEHAT,DKI2
2018-06-16,61,37,31,139,17,139,O3,TIDAK SEHAT,DKI2
2018-06-17,49,27,11,88,8,88,O3,SEDANG,DKI5
2018-06-18,51,27,10,75,10,75,O3,SEDANG,DKI5
2018-06-19,60,26,13,97,10,97,O3,SEDANG,DKI5
2018-06-20,73,26,16,86,10,86,O3,SEDANG,DKI5
2018-06-21,51,27,11,70,5,70,O3,SEDANG,DKI5
2018-06-22,66,28,17,94,13,94,O3,SEDANG,DKI5
2018-06-23,81,27,14,77,10,81,PM10,SEDANG,DKI4
2018-06-24,50,25,15,110,10,110,O3,TIDAK SEHAT,DKI5
2018-06-25,35,25,14,100,11,100,O3,SEDANG,DKI5
2018-06-26,56,26,43,107,23,107,O3,TIDAK SEHAT,DKI2
2018-06-27,60,26,23,136,19,136,O3,TIDAK SEHAT,DKI5
2018-06-28,69,27,24,146,10,146,O3,TIDAK SEHAT,DKI5
2018-06-29,73,28,18,213,20,213,O3,SANGAT TIDAK SEHAT,DKI5
2018-06-30,67,30,17,193,15,193,O3,TIDAK SEHAT,DKI2
