tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-03-01,72,24,40,126,19,126,O3,TIDAK SEHAT,DKI5
2018-03-02,51,29,34,146,17,146,O3,TIDAK SEHAT,DKI2
2018-03-03,62,30,37,109,18,109,O3,TIDAK SEHAT,DKI5
2018-03-04,60,30,64,194,19,194,O3,TIDAK SEHAT,DKI5
2018-03-05,61,23,48,79,20,79,O3,SEDANG,DKI5
2018-03-06,64,28,30,103,16,103,O3,TIDAK SEHAT,DKI3
2018-03-07,66,26,48,76,21,76,O3,SEDANG,DKI3
2018-03-08,55,29,47,107,22,107,O3,TIDAK SEHAT,DKI5
2018-03-09,59,30,59,81,27,81,O3,SEDANG,DKI5
2018-03-10,60,25,27,54,12,60,PM10,SEDANG,DKI3
2018-03-11,56,25,18,63,10,63,O3,SEDANG,DKI5
2018-03-12,39,24,20,46,9,46,O3,BAIK,DKI5
2018-03-13,49,28,20,61,8,61,O3,SEDANG,DKI3
2018-03-14,62,31,20,89,11,89,O3,SEDANG,DKI3
2018-03-15,68,37,24,136,30,136,O3,TIDAK SEHAT,DKI2
2018-03-16,75,30,20,191,15,191,O3,TIDAK SEHAT,DKI5
2018-03-17,71,32,24,155,20,155,O3,TIDAK SEHAT,DKI5
2018-03-18,72,31,54,195,14,195,O3,TIDAK SEHAT,DKI5
2018-03-19,50,27,21,156,15,156,O3,TIDAK SEHAT,DKI5
2018-03-20,51,29,23,202,22,202,O3,SANGAT TIDAK SEHAT,DKI5
2018-03-21,62,25,31,87,14,87,O3,SEDANG,DKI2
2018-03-22,30,25,18,51,9,51,O3,SEDANG,DKI3
2018-03-23,75,44,49,94,21,94,O3,SEDANG,DKI5
2018-03-24,66,30,23,55,17,66,PM10,SEDANG,DKI1
2018-03-25,36,24,16,64,19,64,O3,SEDANG,DKI2
2018-03-26,51,27,24,90,19,90,O3,SEDANG,DKI2
2018-03-27,41,24,20,94,7,94,O3,SEDANG,DKI2
2018-03-28,75,31,42,195,26,195,O3,TIDAK SEHAT,DKI2
2018-03-29,71,34,26,129,19,129,O3,TIDAK SEHAT,DKI2
2018-03-30,56,30,34,105,30,105,O3,TIDAK SEHAT,DKI2
2018-03-31,39,48,15,67,8,67,O3,SEDANG,DKI5
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,TIDAK ADA DATA,,,0,,TIDAK ADA DATA,,0,
,BAIK,,,5,,PM10,,2,
,SEDANG,,,25,,SO2,,11,
,TIDAK SEHAT,,,1,,CO,,0,
,SANGAT TIDAK SEHAT,,,0,,O3,,18,
,BERBAHAYA,,,0,,NO2,,0,
,JUMLAH,,,31,,JUMLAH,,31,
