tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-05-01,73,25,19,101,18,101,O3,TIDAK SEHAT,DKI5
2018-05-02,88,25,22,183,18,183,O3,TIDAK SEHAT,DKI5
2018-05-03,103,27,23,166,20,166,O3,TIDAK SEHAT,DKI5
2018-05-04,91,27,46,164,23,164,O3,TIDAK SEHAT,DKI5
2018-05-05,78,26,27,137,17,137,O3,TIDAK SEHAT,DKI5
2018-05-06,70,26,17,109,15,109,O3,TIDAK SEHAT,DKI5
2018-05-07,68,27,17,77,16,77,O3,SEDANG,DKI5
2018-05-08,79,26,21,204,17,204,O3,SANGAT TIDAK SEHAT,DKI5
2018-05-09,93,27,21,156,20,156,O3,TIDAK SEHAT,DKI5
2018-05-10,73,25,18,107,15,107,O3,TIDAK SEHAT,DKI5
2018-05-11,74,27,16,83,18,83,O3,SEDANG,DKI5
2018-05-12,103,27,29,144,21,144,O3,TIDAK SEHAT,DKI5
2018-05-13,96,26,26,131,14,131,O3,TIDAK SEHAT,DKI5
2018-05-14,87,26,20,178,13,178,O3,TIDAK SEHAT,DKI5
2018-05-15,94,27,25,143,17,143,O3,TIDAK SEHAT,DKI5
2018-05-16,87,28,23,151,16,151,O3,TIDAK SEHAT,DKI5
2018-05-17,65,25,19,80,16,80,O3,SEDANG,DKI3
2018-05-18,78,26,26,86,11,86,O3,SEDANG,DKI5
2018-05-19,59,24,13,102,10,102,O3,TIDAK SEHAT,DKI5
2018-05-20,61,25,29,98,12,98,O3,SEDANG,DKI5
2018-05-21,60,25,20,185,16,185,O3,TIDAK SEHAT,DKI5
2018-05-22,58,25,14,80,10,80,O3,SEDANG,DKI5
2018-05-23,58,26,12,74,12,74,O3,SEDANG,DKI5
2018-05-24,42,25,12,94,10,94,O3,SEDANG,DKI5
2018-05-25,66,26,22,92,11,92,O3,SEDANG,DKI5
2018-05-26,71,29,24,119,13,119,O3,TIDAK SEHAT,DKI5
2018-05-27,62,26,23,156,10,156,O3,TIDAK SEHAT,DKI5
2018-05-28,81,24,55,120,33,120,O3,TIDAK SEHAT,DKI2
2018-05-29,84,31,21,118,20,118,O3,TIDAK SEHAT,DKI5
2018-05-30,86,25,24,191,20,191,O3,TIDAK SEHAT,DKI5
2018-05-31,83,28,21,183,20,183,O3,TIDAK SEHAT,DKI2
