tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-11-01,74,27,35,95,16,95,O3,SEDANG,DKI2
2018-11-02,50,26,21,85,13,85,O3,SEDANG,DKI3
2018-11-03,76,29,24,173,14,173,O3,TIDAK SEHAT,DKI2
2018-11-04,56,26,31,110,18,110,O3,TIDAK SEHAT,DKI5
2018-11-05,56,24,23,101,17,101,O3,TIDAK SEHAT,DKI3
2018-11-06,53,28,20,122,12,122,O3,TIDAK SEHAT,DKI2
2018-11-07,59,28,26,96,30,96,O3,SEDANG,DKI5
2018-11-08,63,32,24,89,21,89,O3,SEDANG,DKI3
2018-11-09,61,24,22,98,16,98,O3,SEDANG,DKI3
2018-11-10,60,24,36,166,19,166,O3,TIDAK SEHAT,DKI3
2018-11-11,71,40,35,104,16,104,O3,TIDAK SEHAT,DKI3
2018-11-12,66,24,31,144,15,144,O3,TIDAK SEHAT,DKI2
2018-11-13,66,23,31,129,23,129,O3,TIDAK SEHAT,DKI2
2018-11-14,60,23,25,65,17,65,O3,SEDANG,DKI2
2018-11-15,40,23,20,51,8,51,O3,SEDANG,DKI2
2018-11-16,54,31,22,234,16,234,O3,SANGAT TIDAK SEHAT,DKI2
2018-11-17,65,36,18,145,16,145,O3,TIDAK SEHAT,DKI2
2018-11-18,59,28,22,120,16,120,O3,TIDAK SEHAT,DKI3
2018-11-19,81,25,31,90,17,90,O3,SEDANG,DKI3
2018-11-20,56,25,21,94,16,94,O3,SEDANG,DKI2
2018-11-21,66,31,21,163,22,163,O3,TIDAK SEHAT,DKI2
2018-11-22,69,26,25,129,20,129,O3,TIDAK SEHAT,DKI2
2018-11-23,66,27,26,203,22,203,O3,SANGAT TIDAK SEHAT,DKI2
2018-11-24,61,24,38,193,22,193,O3,TIDAK SEHAT,DKI2
2018-11-25,57,25,21,77,15,77,O3,SEDANG,DKI3
2018-11-26,73,24,26,90,20,90,O3,SEDANG,DKI3
2018-11-27,63,24,28,126,19,126,O3,TIDAK SEHAT,DKI3
2018-11-28,63,26,22,109,17,109,O3,TIDAK SEHAT,DKI2
2018-11-29,62,27,33,76,26,76,O3,SEDANG,DKI3
2018-11-30,53,24,20,131,15,131,O3,TIDAK SEHAT,DKI3
