tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-09-01,68,29,20,145,13,145,O3,TIDAK SEHAT,DKI5
2018-09-02,73,30,20,136,11,136,O3,TIDAK SEHAT,DKI5
2018-09-03,62,37,23,175,24,175,O3,TIDAK SEHAT,DKI5
2018-09-04,52,37,22,217,24,217,O3,SANGAT TIDAK SEHAT,DKI5
2018-09-05,53,31,15,140,24,140,O3,TIDAK SEHAT,DKI5
2018-09-06,82,44,25,148,17,148,O3,TIDAK SEHAT,DKI5
2018-09-07,69,33,21,147,10,147,O3,TIDAK SEHAT,DKI5
2018-09-08,51,33,19,175,16,175,O3,TIDAK SEHAT,DKI5
2018-09-09,81,34,30,126,16,126,O3,TIDAK SEHAT,DKI5
2018-09-10,69,33,20,132,12,132,O3,TIDAK SEHAT,DKI5
2018-09-11,63,33,16,102,11,102,O3,TIDAK SEHAT,DKI5
2018-09-12,61,32,16,164,13,164,O3,TIDAK SEHAT,DKI2
2018-09-13,70,46,19,190,13,190,O3,TIDAK SEHAT,DKI5
2018-09-14,62,44,18,233,17,233,O3,SANGAT TIDAK SEHAT,DKI2
2018-09-15,68,37,17,196,23,196,O3,TIDAK SEHAT,DKI2
2018-09-16,82,34,15,119,11,119,O3,TIDAK SEHAT,DKI2
2018-09-17,62,33,17,83,14,83,O3,SEDANG,DKI5
2018-09-18,64,32,18,141,11,141,O3,TIDAK SEHAT,DKI5
2018-09-19,58,34,16,85,11,85,O3,SEDANG,DKI5
2018-09-20,70,34,19,77,12,77,O3,SEDANG,DKI5
2018-09-21,80,33,34,75,12,80,PM10,SEDANG,DKI4
2018-09-22,58,33,25,157,13,157,O3,TIDAK SEHAT,DKI5
2018-09-23,84,33,29,130,14,130,O3,TIDAK SEHAT,DKI5
2018-09-24,69,33,25,152,21,152,O3,TIDAK SEHAT,DKI5
2018-09-25,78,32,31,197,16,197,O3,TIDAK SEHAT,DKI5
2018-09-26,94,50,26,202,21,202,O3,SANGAT TIDAK SEHAT,DKI5
2018-09-27,72,37,21,146,18,146,O3,TIDAK SEHAT,DKI5
2018-09-28,70,33,22,194,17,194,O3,TIDAK SEHAT,DKI5
2018-09-29,62,33,21,165,15,165,O3,TIDAK SEHAT,DKI5
2018-09-30,63,32,20,145,11,145,O3,TIDAK SEHAT,DKI5
